route_id,route_short_name,route_long_name,trip_id,stop_sequence,stop_id,stop_name,arrival_time,departure_time
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:11289020,1,50008,Salesforce Transit Center Bay 8,17:40:00,17:40:00
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:11289020,2,55228,Richmond Pkwy Transit Center (Park & Ride),18:30:00,18:30:00
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:11289020,3,54413,3400 Richmond Pkwy,18:32:09,18:32:09
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:11289020,4,51477,Richmond Pkwy & Lakeside Dr,18:33:58,18:33:58
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:11289020,5,57607,Hilltop Dr & Vista Del Mar,18:37:55,18:37:55
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:11289020,6,50965,Hilltop Dr & Hillview Dr (Hilltop Village),18:39:37,18:39:37
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:11289020,7,56332,Shane Dr & Hilltop Mall Rd,18:42:40,18:42:40
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:11289020,8,59410,Hilltop Dr & Eastshore Fwy,18:45:13,18:45:13
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:11289020,9,59165,Hilltop Dr & I-80 Offramp,18:45:57,18:45:57
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:11289020,10,56225,Park Central & Hilltop Dr,18:46:54,18:46:54
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:11289020,11,50656,Hilltop Dr & Park & Ride,18:49:00,18:49:00
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:11589020,1,56225,Park Central & Hilltop Dr,07:37:00,07:37:00
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:11589020,2,50656,Hilltop Dr & Park & Ride,07:38:00,07:38:00
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:11589020,3,55746,Hilltop Dr & Eastshore Fwy,07:38:49,07:38:49
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:11589020,4,56332,Shane Dr & Hilltop Mall Rd,07:41:57,07:41:57
AC:LA,LA,Hilltop - Richmond Pkwy Transbay,AC:11589020,5,58448,Hilltop Dr & Hillview Dr,07:45:02,07:45:02
